Folarin Balogun,FW,Arsenal
Gabriel Fernando de Jesus,FW,Arsenal
Eddie Nketiah,FW,Arsenal
Keinan Davis,FW,Aston Villa
Jhon Durán,FW,Aston Villa
Ollie Watkins,FW,Aston Villa
Wesley Moraes Ferreira da Silva,FW,Aston Villa
Kieffer Moore,FW,Bournemouth
Antoine Semenyo,FW,Bournemouth
Dominic Solanke,FW,Bournemouth
Halil Dervişoğlu,FW,Brentford
Ivan Toney,FW,Brentford
Yoane Wissa,FW,Brentford
Neal Maupay,FW,Brentford
Aaron Connolly,FW,Brighton
Evan Ferguson,FW,Brighton
João Pedro Junqueira de Jesus,FW,Brighton
Deniz Undav,FW,Brighton
Danny Welbeck,FW,Brighton
Andi Zeqiri,FW,Brighton
Mark O’Mahony,FW,Brighton
Lyle Foster,FW,Burnley
Michael Obafemi,FW,Burnley
Jay Rodriguez,FW,Burnley
Wout Weghorst,FW,Burnley
Zeki Amdouni,FW,Burnley
Pierre-Emerick Aubameyang,FW,Chelsea
Armando Broja,FW,Chelsea
David Datro Fofana,FW,Chelsea
Romelu Lukaku Bolingoli,FW,Chelsea
Nicolas Jackson,FW,Chelsea
Christopher Nkunku,FW,Chelsea
Mason Burstow,FW,Chelsea
Deivid Washington de Souza Eugênio,FW,Chelsea
Ronnie Stutter,FW,Chelsea
Odsonne Edouard,FW,Crystal Palace
Jean-Philippe Mateta,FW,Crystal Palace
Luke Plange,FW,Crystal Palace
John-Kymani Gordon,FW,Crystal Palace
Ademola Ola-Adebomi,FW,Crystal Palace
Dominic Calvert-Lewin,FW,Everton
Ellis Simms,FW,Everton
Youssef Ramalho Chermiti,FW,Everton
Thomas Cannon,FW,Everton
Norberto Bercique Gomes Betuncal,FW,Everton
Aleksandar Mitrović,FW,Fulham
Rodrigo Muniz Carvalho,FW,Fulham
Carlos Vinícius Alves Morais,FW,Fulham
Raúl Jiménez,FW,Fulham
Jay Stansfield,FW,Fulham
Darwin Núñez Ribeiro,FW,Liverpool
Cody Gakpo,FW,Liverpool
Elijah Adebayo,FW,Luton
John McAtee,FW,Luton
Carlton Morris,FW,Luton
Admiral Muskwe,FW,Luton
Chiedozie Ogbene,FW,Luton
Aribim Pepple,FW,Luton
Joe Taylor,FW,Luton
Cauley Woodrow,FW,Luton
Jacob Brown,FW,Luton
Julián Álvarez,FW,Manchester City
Erling Haaland,FW,Manchester City
Anthony Martial,FW,Manchester United
Shola Shoretire,FW,Manchester United
Rasmus Højlund,FW,Manchester United
Joe Hugill,FW,Manchester United
Alexander Isak,FW,Newcastle
Callum Wilson,FW,Newcastle
Ben Parkinson,FW,Newcastle
Michael Ndiweni,FW,Newcastle
Taiwo Awoniyi,FW,Nottingham Forest
Emmanuel Dennis,FW,Nottingham Forest
Sam Surridge,FW,Nottingham Forest
Hwang Ui-jo,FW,Nottingham Forest
Chris Wood,FW,Nottingham Forest
Divock Origi,FW,Nottingham Forest
Cameron Archer,FW,Sheffield Utd
Rhian Brewster,FW,Sheffield Utd
Daniel Jebbison,FW,Sheffield Utd
Oliver McBurnie,FW,Sheffield Utd
Iliman Ndiaye,FW,Sheffield Utd
William Osula,FW,Sheffield Utd
Bénie Traoré,FW,Sheffield Utd
Louie Marsh,FW,Sheffield Utd
Antwoine Hackford,FW,Sheffield Utd
Harry Kane,FW,Tottenham Hotspur
Dane Scarlett,FW,Tottenham Hotspur
Alejo Véliz,FW,Tottenham Hotspur
Jamie Donley,FW,Tottenham Hotspur
Michail Antonio,FW,West Ham
Danny Ings,FW,West Ham
Divin Mubama,FW,West Ham
Gianluca Scamacca,FW,West Ham
Fábio Silva,FW,Wolves
Sasa Kalajdzic,FW,Wolves
Matheus Santos Carneiro Da Cunha,FW,Wolves
Nathan Fraser,FW,Wolves
Cédric Alves Soares,DF,Arsenal
Gabriel dos Santos Magalhães,DF,Arsenal
Jakub Kiwior,DF,Arsenal
William Saliba,DF,Arsenal
Kieran Tierney,DF,Arsenal
Takehiro Tomiyasu,DF,Arsenal
Benjamin White,DF,Arsenal
Oleksandr Zinchenko,DF,Arsenal
Jurriën Timber,DF,Arsenal
Reuell Walters,DF,Arsenal
Alexandre Moreno Lopera,DF,Aston Villa
Matty Cash,DF,Aston Villa
Calum Chambers,DF,Aston Villa
Diego Carlos Santos Silva,DF,Aston Villa
Lucas Digne,DF,Aston Villa
Kortney Hause,DF,Aston Villa
Ezri Konsa Ngoyo,DF,Aston Villa
Tyrone Mings,DF,Aston Villa
Pau Torres,DF,Aston Villa
Clément Lenglet,DF,Aston Villa
Ryan Fredericks,DF,Bournemouth
James Hill,DF,Bournemouth
Lloyd Kelly,DF,Bournemouth
Chris Mepham,DF,Bournemouth
Marcos Senesi,DF,Bournemouth
Adam Smith,DF,Bournemouth
Illia Zabarnyi,DF,Bournemouth
Milos Kerkez,DF,Bournemouth
Ben Greenwood,DF,Bournemouth
Max Aarons,DF,Bournemouth
Kristoffer Ajer,DF,Brentford
Mads Bech Sørensen,DF,Brentford
Nathan Collins,DF,Brentford
Charlie Goode,DF,Brentford
Rico Henry,DF,Brentford
Aaron Hickey,DF,Brentford
Ben Mee,DF,Brentford
Ethan Pinnock,DF,Brentford
Mads Roerslev Rasmussen,DF,Brentford
Mathias Jorgensen,DF,Brentford
Ji-Soo Kim,DF,Brentford
Valintino Adedokun,DF,Brentford
Lewis Dunk,DF,Brighton
Pervis Estupiñán,DF,Brighton
Michał Karbownik,DF,Brighton
Tariq Lamptey,DF,Brighton
Jan Paul van Hecke,DF,Brighton
Joël Veltman,DF,Brighton
Adam Webster,DF,Brighton
Igor Julio dos Santos de Paulo,DF,Brighton
Ben Jackson,DF,Brighton
Ameen Al-Dakhil,DF,Burnley
Jordan Beyer,DF,Burnley
CJ Egan-Riley,DF,Burnley
Hjalmar Ekdal,DF,Burnley
Luke McNally,DF,Burnley
Dara O'Shea,DF,Burnley
Connor Roberts,DF,Burnley
Charlie Taylor,DF,Burnley
Bobby Thomas,DF,Burnley
Victor da Silva,DF,Burnley
Owen Dodgson,DF,Burnley
Hannes Delcroix,DF,Burnley
Ethan Ampadu,DF,Chelsea
César Azpilicueta,DF,Chelsea
Abdul Rahman Baba,DF,Chelsea
Benoît Badiashile,DF,Chelsea
Trevoh Chalobah,DF,Chelsea
Ben Chilwell,DF,Chelsea
Levi Colwill,DF,Chelsea
Marc Cucurella Saseta,DF,Chelsea
Wesley Fofana,DF,Chelsea
Malo Gusto,DF,Chelsea
Reece James,DF,Chelsea
Malang Sarr,DF,Chelsea
Thiago Emiliano da Silva,DF,Chelsea
Axel Disasi,DF,Chelsea
Bashir Humphreys,DF,Chelsea
Alfie Gilchrist,DF,Chelsea
Josh Brooking,DF,Chelsea
Rob Holding,DF,Crystal Palace
Joachim Andersen,DF,Crystal Palace
Nathaniel Clyne,DF,Crystal Palace
Marc Guéhi,DF,Crystal Palace
Tyrick Mitchell,DF,Crystal Palace
Jake O'Brien,DF,Crystal Palace
Chris Richards,DF,Crystal Palace
James Tomkins,DF,Crystal Palace
